Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"S. Curry GS - PG,SG",78,1,2,9.0,18.3,0.491,4.5,4.9,0.914,4.7,27.2,0.7,4.0,4.7,7.0,2.0,0.2,2.2
"K. Durant GS - SF,PF",77,2,4,8.9,17.5,0.511,5.8,6.6,0.891,2.8,26.6,0.6,6.9,7.5,4.5,1.0,1.2,1.4
"J. Harden Hou - PG,SG,SF",80,3,3,8.5,19.0,0.444,8.9,10.3,0.864,2.8,28.6,0.8,5.0,5.8,7.3,1.8,0.5,1.7
R. Westbrook OKC - PG,80,4,1,9.4,21.3,0.441,7.7,9.3,0.829,1.4,27.9,1.8,6.2,8.0,9.5,2.1,0.3,2.1
K. Towns Min - C,81,5,10,8.4,15.6,0.541,3.2,3.9,0.832,0.5,20.6,2.9,8.2,11.1,2.1,0.8,1.7,0.8
"K. Leonard SA - SG,SF",71,6,15,7.8,15.8,0.493,4.1,4.8,0.845,1.8,21.5,1.3,5.4,6.7,2.8,1.9,0.9,1.7
"G. Antetokounmpo Mil - PG,SG,SF",80,7,6,7.3,14.4,0.509,4.1,5.6,0.733,0.4,19.1,1.3,7.0,8.3,6.8,1.4,1.5,2.3
"A. Davis NO - PF,C",69,8,11,9.4,18.6,0.505,5.5,7.0,0.778,0.8,25.1,2.4,7.8,10.2,2.2,1.3,2.4,1.1
C. Paul LAC - PG,73,9,7,6.6,14.0,0.468,3.6,4.1,0.887,1.6,18.4,0.5,3.6,4.1,10.0,2.1,0.2,4.2
"P. George Ind - SF,PF",80,10,12,7.4,17.3,0.427,5.5,6.4,0.865,2.7,23.0,1.0,5.9,6.9,4.3,1.8,0.4,1.4
"L. James Cle - SF,PF",75,11,5,9.6,18.3,0.527,4.8,6.5,0.737,1.3,25.3,1.3,5.8,7.2,6.9,1.4,0.7,2.2
D. Lillard Por - PG,82,12,9,8.3,19.6,0.424,5.3,6.0,0.882,3.0,24.9,0.6,3.5,4.1,7.0,0.9,0.3,2.3
H. Whiteside Mia - C,74,13,22,5.9,9.8,0.598,3.0,4.7,0.644,0.0,14.8,3.3,8.4,11.7,0.5,0.6,3.4,0.3
"D. Cousins Sac - PF,C",72,14,13,9.4,20.6,0.454,7.5,10.2,0.735,1.0,27.2,2.5,9.3,11.8,3.4,1.5,1.5,0.9
"P. Millsap Atl - PF,C",77,15,19,6.3,13.4,0.472,3.8,5.2,0.740,1.0,17.5,2.4,6.3,8.6,3.1,1.8,1.5,1.3
"J. Butler Chi - SG,SF",68,16,23,6.6,14.5,0.457,5.7,6.8,0.838,1.2,20.1,1.4,4.1,5.4,4.0,1.7,0.6,2.2
"A. Horford Bos - PF,C",78,17,27,6.7,13.1,0.512,1.4,1.8,0.775,1.0,15.8,2.0,5.5,7.5,3.1,0.8,1.4,2.0
"V. Oladipo OKC - PG,SG",75,18,43,6.2,14.0,0.440,3.0,3.6,0.822,1.4,16.7,0.7,4.1,4.8,4.1,1.7,0.7,1.7
"D. Green GS - SF,PF",80,19,18,4.5,9.2,0.485,2.6,3.7,0.708,1.1,12.6,1.7,7.4,9.1,6.3,1.5,1.4,2.2
"L. Aldridge SA - PF,C",72,20,24,8.4,16.6,0.508,3.9,4.6,0.838,0.1,20.8,2.5,6.8,9.3,1.8,0.6,1.1,1.2
K. Lowry Tor - PG,77,21,14,6.5,15.3,0.423,5.0,6.2,0.804,2.8,20.7,0.8,3.9,4.6,6.8,1.8,0.3,2.5
"K. Irving Cle - PG,SG",72,22,29,8.1,18.0,0.448,3.7,4.2,0.869,2.0,21.9,0.8,2.5,3.3,5.1,1.2,0.3,2.0
K. Walker Cha - PG,79,23,16,6.9,16.2,0.424,4.4,5.3,0.834,2.3,20.5,0.7,3.9,4.6,5.4,1.5,0.4,2.5
"K. Porzingis NY - PF,C",76,24,40,6.0,13.7,0.437,3.1,3.7,0.833,1.3,16.3,2.0,6.2,8.2,1.4,0.9,2.0,0.8
N. Jokic Den - C,81,25,39,4.4,8.7,0.505,2.2,2.7,0.818,0.5,11.5,2.6,5.5,8.0,2.7,1.2,0.8,1.8
J. Wall Was - PG,80,26,8,7.5,17.3,0.432,3.6,4.6,0.785,1.5,20.0,0.6,4.3,4.8,10.1,1.9,0.7,2.6
"S. Ibaka Orl - PF,C",81,27,44,7.0,14.6,0.482,1.9,2.4,0.777,0.9,16.9,2.0,5.3,7.2,1.0,0.5,2.1,0.6
"D. Favors Uta - PF,C",75,28,41,6.9,13.2,0.520,2.9,4.2,0.682,0.0,16.7,2.7,5.6,8.3,1.5,1.0,1.6,0.9
"K. Thompson GS - SG,SF",80,29,26,7.3,15.6,0.468,2.3,2.6,0.878,3.6,20.4,0.4,3.2,3.6,2.5,0.9,0.7,1.5
B. Lopez Bkn - C,74,30,25,8.2,16.2,0.508,4.7,5.9,0.799,0.0,21.2,2.7,5.3,8.0,1.7,0.7,1.7,0.7
"K. Love Cle - PF,C",78,31,30,5.5,12.9,0.429,3.5,4.3,0.823,2.2,16.8,1.8,8.3,10.1,2.5,0.8,0.5,1.4
"C. McCollum Por - PG,SG",79,32,42,7.6,17.2,0.442,2.2,2.7,0.795,2.5,19.9,0.6,2.8,3.4,4.1,1.1,0.3,1.8
"E. Bledsoe Pho - PG,SG",64,33,46,7.1,15.8,0.451,4.2,5.3,0.794,1.5,20.0,0.7,3.3,4.0,6.1,1.8,0.6,1.8
"C. Anthony NY - SF,PF",70,34,33,7.8,17.8,0.438,4.6,5.6,0.822,1.5,21.7,1.5,5.9,7.5,4.1,0.9,0.5,1.8
"B. Griffin LAC - PF,C",75,35,17,8.8,17.4,0.507,4.6,6.3,0.731,0.1,22.5,1.7,6.9,8.6,5.1,0.9,0.6,2.1
J. Valanciunas Tor - C,73,36,52,5.6,10.1,0.557,3.2,4.1,0.772,0.0,14.4,3.2,6.5,9.7,0.9,0.5,1.4,0.5
I. Thomas Bos - PG,80,37,20,7.0,16.4,0.429,5.7,6.6,0.865,2.2,22.0,0.5,2.2,2.7,6.1,1.0,0.1,2.2
"M. Turner Ind - PF,C",73,38,110,5.3,10.5,0.503,1.8,2.5,0.743,0.1,12.5,1.3,5.2,6.5,0.9,0.5,1.6,0.7
M. Conley Mem - PG,73,39,45,5.4,12.5,0.436,3.3,3.9,0.835,1.5,15.6,0.5,2.5,3.0,6.3,1.3,0.2,3.5
R. Gobert Uta - C,76,40,58,3.5,6.1,0.572,2.9,4.9,0.603,0.0,9.9,3.4,7.3,10.8,1.5,0.7,2.3,0.8
"T. Ariza Hou - SG,SF",80,41,73,4.2,10.1,0.419,1.6,2.0,0.804,2.2,12.2,0.8,4.0,4.7,2.4,1.7,0.3,1.6
"T. Harris Det - SF,PF",70,42,77,5.9,12.5,0.470,2.9,3.6,0.808,1.2,15.8,1.2,5.4,6.6,2.1,0.9,0.6,1.4
R. Rubio Min - PG,74,43,49,2.8,7.6,0.376,3.0,3.7,0.824,0.8,9.5,0.6,3.6,4.2,8.0,2.0,0.1,3.1
"A. Wiggins Min - SG,SF",82,44,35,7.6,16.6,0.455,5.6,7.2,0.776,0.8,21.5,1.5,2.7,4.2,2.1,1.0,0.6,0.9
"G. Dieng Min - PF,C",77,45,50,4.2,7.9,0.528,2.8,3.4,0.804,0.1,11.2,2.1,5.6,7.8,2.0,1.2,1.5,1.1
"G. Hayward Uta - SG,SF",78,46,31,6.4,14.5,0.440,4.9,5.9,0.817,1.9,19.4,0.7,4.1,4.8,3.8,1.2,0.4,1.6
D. Jordan LAC - C,82,47,32,4.5,6.5,0.699,3.1,7.4,0.418,0.0,12.1,4.0,10.1,14.1,1.1,0.8,2.3,0.8
"N. Batum Cha - SG,SF",72,48,68,4.7,10.9,0.433,2.2,2.6,0.841,2.0,13.7,0.7,5.0,5.7,5.2,0.9,0.6,1.9
"G. Dragic Mia - PG,SG",77,49,61,6.2,13.0,0.472,1.9,2.6,0.743,1.1,15.4,0.8,2.9,3.7,5.3,1.0,0.3,2.0
"J. Crowder Bos - SF,PF",77,50,60,4.7,10.4,0.449,2.8,3.6,0.785,1.6,13.7,0.9,4.0,4.9,2.0,1.6,0.5,1.7
"N. Vucevic Orl - PF,C",71,51,57,7.3,14.2,0.514,1.6,2.1,0.762,0.0,16.3,2.4,5.7,8.1,2.3,0.7,0.9,1.4
"P. Gasol SA - PF,C",68,52,47,5.8,11.9,0.488,2.9,3.8,0.781,0.3,14.9,2.1,7.8,9.9,3.7,0.5,1.7,2.0
"D. DeRozan Tor - SG,SF",80,53,21,7.9,17.6,0.449,6.7,8.0,0.837,0.7,23.3,0.8,3.9,4.7,3.9,1.1,0.3,1.8
"N. Noel Phi - PF,C",73,54,92,4.0,7.7,0.513,1.8,3.0,0.616,0.0,9.8,2.0,5.1,7.1,1.6,1.6,1.5,0.8
"A. Gordon Orl - SF,PF",79,55,59,4.5,9.5,0.471,2.2,3.1,0.710,0.7,11.8,2.3,5.6,7.9,2.2,1.0,0.9,1.8
D. Collison Sac - PG,56,56,105,5.7,12.0,0.474,3.2,3.7,0.855,1.4,15.9,0.5,2.3,2.8,5.4,1.3,0.2,2.2
M. Gasol Mem - C,72,57,48,6.2,12.9,0.477,3.8,4.7,0.796,0.1,16.1,1.2,5.8,7.0,3.6,1.0,1.3,1.7
"Z. LaVine Min - PG,SG",80,58,88,5.4,12.1,0.448,2.1,2.6,0.821,1.6,14.6,0.3,2.6,2.9,3.5,0.8,0.3,1.6
J. Teague Ind - PG,78,59,34,5.4,12.3,0.443,3.5,4.1,0.854,1.4,15.9,0.3,2.3,2.7,6.5,1.5,0.3,2.1
O. Porter Was - SF,76,60,97,4.6,9.9,0.461,1.1,1.5,0.746,1.4,11.6,1.4,3.8,5.2,1.8,1.3,0.4,1.5
"J. Parker Mil - SF,PF",77,61,63,6.9,13.9,0.496,2.9,3.8,0.756,0.3,17.0,1.7,4.3,6.0,2.0,1.0,0.4,1.0
"E. Fournier Orl - SG,SF",76,62,80,5.8,12.9,0.450,2.8,3.4,0.830,2.0,16.4,0.4,2.4,2.8,3.0,1.0,0.1,1.7
"D. Nowitzki Dal - PF,C",73,63,56,6.2,14.0,0.446,3.4,3.8,0.882,1.6,17.5,0.6,5.5,6.1,1.8,0.7,0.7,1.7
"C. Parsons Mem - SF,PF",70,64,75,5.9,12.2,0.483,1.9,2.7,0.717,1.9,15.5,0.7,5.3,6.1,3.3,1.0,0.4,1.8
S. Adams OKC - C,77,65,127,3.3,5.6,0.587,1.5,2.7,0.570,0.0,8.1,3.0,4.2,7.2,0.9,0.6,1.1,0.8
"A. Drummond Det - PF,C",82,66,28,7.2,13.7,0.526,2.7,7.3,0.376,0.0,17.2,5.0,9.4,14.5,0.8,1.4,1.7,0.4
D. Gallinari Den - SF,62,67,84,5.1,12.4,0.414,6.2,7.2,0.870,1.6,18.1,0.9,4.0,5.0,2.4,0.8,0.4,1.7
"N. Mirotic Chi - SF,PF",79,68,89,4.0,9.6,0.413,2.4,2.9,0.803,2.1,12.4,1.0,4.7,5.7,1.5,0.9,0.8,0.9
"R. Jackson Det - PG,SG",77,69,37,6.6,15.1,0.435,3.6,4.1,0.874,1.5,18.2,0.7,2.8,3.5,6.7,0.7,0.1,2.3
"R. Anderson Hou - PF,C",70,70,107,5.1,11.8,0.430,2.6,3.0,0.865,2.3,15.0,1.9,3.8,5.7,1.1,0.6,0.3,1.0
M. Gortat Was - C,78,71,54,5.3,9.4,0.562,1.7,2.5,0.684,0.0,12.3,2.6,6.7,9.3,1.3,0.6,1.3,0.9
E. Kanter OKC - C,79,72,38,6.8,12.0,0.568,3.1,3.9,0.784,0.2,16.9,3.7,6.2,9.9,0.6,0.4,0.5,0.4
"R. Gay Sac - SF,PF",73,73,51,6.6,14.5,0.458,3.4,4.1,0.815,1.2,17.8,1.5,4.9,6.4,2.3,1.3,0.7,1.1
B. Beal Was - SG,64,74,120,6.6,15.3,0.431,2.3,3.0,0.771,2.0,17.4,0.8,2.9,3.7,3.1,1.0,0.3,1.4
"T. Young Ind - SF,PF",78,75,69,5.8,11.4,0.509,1.3,2.0,0.682,0.2,13.2,1.9,5.3,7.2,1.9,1.4,0.4,1.2
D. Schroder Atl - PG,77,76,55,5.8,13.8,0.420,2.7,3.3,0.802,1.4,15.7,0.4,3.3,3.7,6.1,1.3,0.2,1.9
"A. Bradley Bos - PG,SG",78,77,102,5.6,12.6,0.445,1.1,1.4,0.798,1.8,14.1,0.6,2.3,2.8,1.9,1.3,0.3,1.4
"D. Green SA - SG,SF",78,78,143,3.1,7.3,0.418,0.5,0.7,0.759,1.8,8.4,0.5,3.1,3.6,1.7,0.9,0.9,1.7
"G. Hill Uta - PG,SG",75,79,113,4.0,8.7,0.454,1.4,1.8,0.774,1.4,10.8,0.6,2.8,3.4,3.6,0.9,0.2,3.1
"B. Knight Pho - PG,SG",71,80,72,6.7,15.8,0.422,2.7,3.3,0.824,2.3,18.3,0.5,3.0,3.6,4.7,1.2,0.3,1.5
"R. Hollis-Jefferson Bkn - SG,SF",75,81,85,3.6,8.0,0.448,1.9,2.6,0.744,0.2,9.3,1.7,5.3,7.0,2.1,1.9,0.7,1.5
G. Harris Den - SG,78,82,130,4.0,8.6,0.464,1.3,1.6,0.802,1.2,10.5,0.6,2.0,2.6,1.7,1.2,0.2,1.7
"J. Clarkson LAL - PG,SG",77,83,82,6.4,14.4,0.442,2.2,2.7,0.818,1.5,16.5,1.2,2.9,4.1,2.6,1.0,0.1,1.5
"D. Carroll Tor - SF,PF",68,84,117,4.8,10.5,0.455,1.5,2.1,0.713,1.8,12.8,1.4,3.8,5.1,1.5,1.5,0.2,1.3
"K. Faried Den - PF,C",76,85,74,5.0,9.1,0.550,2.3,3.5,0.662,0.0,12.4,3.5,5.4,8.8,1.2,0.7,0.9,0.8
"G. Monroe Mil - PF,C",79,86,53,5.5,10.7,0.516,2.6,3.5,0.742,0.0,13.7,2.5,5.6,8.1,2.0,0.8,0.6,1.3
D. Russell LAL - PG,78,87,66,6.2,14.8,0.416,2.1,2.9,0.725,1.8,16.3,0.7,3.1,3.7,5.3,1.3,0.2,1.7
R. Lopez Chi - C,82,88,70,4.3,7.9,0.536,1.7,2.2,0.787,0.0,10.2,3.5,4.4,7.9,1.3,0.3,1.7,0.8
"M. Ellis Ind - PG,SG",82,89,62,5.0,11.5,0.431,2.1,2.7,0.776,1.0,13.1,0.5,2.5,3.0,4.3,1.8,0.4,1.8
"W. Matthews Dal - SG,SF",78,90,111,4.5,11.1,0.405,1.7,2.1,0.821,2.6,13.3,0.4,2.8,3.2,2.1,1.1,0.2,1.7
"R. Hood Uta - SG,SF",76,91,87,5.0,11.9,0.421,2.4,2.8,0.840,2.2,14.6,0.5,3.0,3.4,2.7,1.0,0.2,1.8
"M. Williams Cha - SF,PF",79,92,94,3.8,8.6,0.442,1.3,1.6,0.803,1.9,10.8,1.4,4.5,5.9,1.3,0.7,0.8,1.7
J. Holiday NO - PG,45,93,126,6.8,15.3,0.442,2.8,3.4,0.831,1.6,18.0,0.6,2.9,3.5,6.6,1.6,0.4,2.3
"H. Barnes Dal - SF,PF",81,94,78,5.2,11.5,0.457,2.0,2.6,0.764,1.4,13.9,1.5,4.3,5.8,2.1,0.7,0.3,1.8
J. Okafor Phi - C,71,95,103,7.0,13.6,0.515,2.5,3.6,0.695,0.0,16.5,2.0,4.4,6.4,1.1,0.4,1.1,0.5
"R. Covington Phi - SF,PF",70,96,134,3.7,9.3,0.396,1.9,2.4,0.792,2.3,11.6,0.7,4.3,5.1,1.3,1.3,0.5,0.7
"K. Bazemore Atl - SG,SF",78,97,104,4.3,10.0,0.431,1.6,2.1,0.738,1.6,11.7,0.4,4.6,5.0,2.5,1.3,0.5,1.3
"J. Lin Bkn - PG,SG",79,98,67,4.8,11.5,0.416,3.8,4.7,0.803,1.2,14.5,0.6,3.2,3.8,5.1,1.0,0.4,1.8
J. Redick LAC - SG,77,99,91,5.4,11.4,0.474,2.5,2.8,0.907,2.6,15.9,0.1,1.8,1.9,1.6,0.6,0.1,1.5
M. Smart Bos - PG,73,100,90,3.8,9.9,0.386,2.2,3.0,0.748,1.3,11.2,1.5,3.4,4.9,3.5,1.8,0.3,2.1
"D. Wade Chi - PG,SG",69,101,76,6.8,14.9,0.455,4.1,5.3,0.772,0.2,17.9,1.0,3.0,4.0,4.4,1.2,0.5,1.6
"C. Capela Hou - PF,C",78,102,115,4.0,7.1,0.561,1.5,3.7,0.399,0.0,9.4,3.0,5.1,8.2,0.8,1.0,1.6,0.6
"B. Simmons Phi - SF,PF",61,103,86,5.1,10.8,0.468,4.8,6.8,0.699,0.1,15.0,1.7,5.7,7.4,4.3,1.6,0.7,1.5
"P. Beverley Hou - PG,SG",74,104,96,3.7,8.7,0.421,1.0,1.3,0.745,1.9,10.3,1.2,2.7,3.9,3.7,1.4,0.4,2.4
"C. Bosh Mia - PF,C",0,105,602,,,0.000,,,0.000,,,,,,,,,0.0
J. Nurkic Den - C,65,106,170,3.8,8.6,0.439,2.1,3.3,0.628,0.0,9.6,2.3,4.2,6.5,1.5,0.9,1.6,0.8
E. Gordon Hou - SG,56,107,222,4.1,9.6,0.424,1.9,2.2,0.846,2.1,12.1,0.3,1.7,1.9,2.3,0.8,0.2,1.6
"J. Smith Cle - SG,SF",76,108,122,4.5,10.8,0.418,0.7,1.0,0.671,2.7,12.3,0.6,2.4,3.0,2.0,1.1,0.2,2.0
R. Rondo Chi - PG,70,109,36,4.6,10.0,0.462,1.2,2.0,0.594,0.7,11.2,1.0,4.6,5.6,10.8,1.9,0.1,3.1
K. Caldwell-Pope Det - SG,80,110,99,4.9,11.8,0.418,2.2,2.7,0.793,1.7,13.7,0.8,2.8,3.6,1.6,1.3,0.2,1.2
"L. Deng LAL - SF,PF",72,111,119,4.5,10.1,0.448,2.1,2.8,0.760,1.3,12.4,1.3,4.0,5.3,2.0,1.0,0.3,1.6
D. Booker Pho - SG,80,112,79,6.0,13.9,0.429,3.2,3.7,0.849,1.6,16.7,0.5,2.5,3.0,3.0,0.8,0.4,1.3
"M. Morris Was - PF,C",79,113,118,4.8,10.4,0.465,1.7,2.2,0.746,0.8,12.2,1.1,4.4,5.5,1.7,0.8,0.5,1.0
"K. Korver Atl - SG,SF",76,114,168,3.2,7.4,0.440,0.7,0.8,0.869,2.0,9.2,0.2,3.0,3.2,2.0,0.7,0.4,1.8
"A. Aminu Por - SF,PF",79,115,114,3.7,8.9,0.420,1.3,1.8,0.727,1.6,10.4,1.3,4.7,6.0,1.7,1.0,0.6,1.3
"B. Biyombo Orl - PF,C",77,116,151,2.1,3.8,0.555,1.9,3.3,0.585,0.0,6.1,2.6,6.5,9.2,0.4,0.4,1.5,0.4
"D. Howard Atl - PF,C",69,117,65,6.2,10.3,0.597,4.0,7.5,0.526,0.0,16.3,3.3,8.2,11.5,1.4,0.9,1.8,0.5
D. Williams Dal - PG,67,118,100,4.7,11.2,0.416,2.7,3.2,0.849,1.6,13.6,0.3,2.3,2.6,5.7,1.0,0.2,2.5
"T. Evans NO - PG,SG",45,119,164,5.4,12.2,0.442,3.0,3.9,0.773,1.1,14.9,0.8,4.1,4.9,6.2,1.2,0.3,2.2
E. Payton Orl - PG,80,120,71,4.5,10.4,0.433,1.6,2.7,0.602,0.5,11.2,1.2,2.8,4.0,6.7,1.4,0.3,2.6
M. Carter-Williams Mil - PG,68,121,177,3.3,7.6,0.431,1.7,2.5,0.685,0.3,8.5,0.7,2.9,3.5,4.0,1.3,0.5,1.8
T. Frazier NO - PG,71,122,137,3.1,7.3,0.427,1.9,2.7,0.695,0.5,8.6,0.7,2.5,3.3,5.1,1.1,0.1,2.9
"J. Winslow Mia - SF,PF",80,123,141,3.2,7.4,0.431,1.2,1.7,0.681,0.5,8.1,1.2,4.7,5.9,1.8,1.2,0.5,1.2
"Z. Randolph Mem - PF,C",73,124,95,5.7,12.2,0.471,2.5,3.3,0.773,0.1,14.1,2.6,5.4,8.0,2.0,0.6,0.2,1.2
J. Randle LAL - PF,82,125,64,5.2,11.7,0.440,2.6,3.5,0.722,0.2,13.1,2.3,8.7,11.0,2.1,0.8,0.5,1.0
B. Hield NO - SG,77,126,205,3.9,9.7,0.402,1.0,1.2,0.851,1.7,10.5,0.5,2.6,3.1,1.9,0.5,0.1,1.3
"S. Johnson Det - SG,SF",78,127,171,3.6,8.9,0.408,1.3,1.7,0.776,1.0,9.6,1.0,3.8,4.8,1.8,1.1,0.2,0.9
T. Lyles Uta - PF,79,128,230,3.0,6.7,0.454,0.8,1.1,0.722,0.7,7.6,1.0,3.3,4.3,0.9,0.4,0.3,0.9
"T. Thompson Cle - PF,C",82,129,93,3.2,5.7,0.567,2.0,3.2,0.641,0.0,8.5,3.4,5.9,9.4,0.9,0.5,0.7,0.9
D. Rose NY - PG,58,130,160,6.7,15.4,0.432,2.4,3.0,0.810,0.6,16.4,0.6,2.6,3.2,4.9,0.7,0.2,1.7
L. Nance Jr. LAL - PF,72,131,220,2.5,4.8,0.514,0.8,1.0,0.720,0.0,5.8,1.4,3.3,4.7,0.8,0.9,0.5,1.1
"S. Hill NO - SG,SF",75,132,200,2.3,5.4,0.434,0.9,1.1,0.854,0.7,6.3,1.0,3.5,4.5,1.5,0.9,0.3,1.7
A. Bogut Dal - C,69,133,108,3.2,5.8,0.556,0.6,1.1,0.527,0.0,7.1,2.1,6.4,8.5,2.7,0.7,1.9,1.7
"C. Lee NY - SG,SF",78,134,146,3.6,8.0,0.449,1.2,1.4,0.858,1.1,9.5,0.4,2.2,2.6,2.0,1.0,0.2,2.0
"M. Plumlee Por - PF,C",81,135,81,3.5,6.5,0.533,2.4,4.1,0.597,0.0,9.4,2.5,5.0,7.5,3.0,0.9,1.0,1.7
"J. Noah NY - PF,C",65,136,112,2.7,6.4,0.420,1.3,2.2,0.614,0.0,6.7,3.2,6.6,9.8,4.8,0.8,1.3,2.4
B. Ingram LAL - SF,78,137,125,3.7,8.6,0.429,2.3,3.3,0.701,1.5,11.2,1.1,3.5,4.6,1.4,0.8,0.9,1.0
"A. Len Pho - PF,C",75,138,129,3.7,8.2,0.456,2.3,3.2,0.722,0.0,9.7,2.5,5.6,8.1,1.2,0.5,1.0,0.7
E. Mudiay Den - PG,77,139,83,5.1,13.1,0.389,2.4,3.5,0.692,1.4,13.9,0.6,3.2,3.8,6.0,1.2,0.5,1.9
"T. Jones NO - SF,PF",53,140,243,4.1,8.0,0.508,1.6,2.5,0.644,0.6,10.3,1.6,3.3,5.0,0.9,0.6,0.9,0.9
"J. Sullinger Tor - PF,C",72,141,116,4.0,9.1,0.440,1.4,2.0,0.705,0.4,9.8,2.5,5.8,8.3,2.3,0.8,0.7,1.8
